RowID,Year,BranchName,AnnualNumberofVisits
181,2013,Runnymede,283238
182,2013,Rexdale,46325
183,2013,Sanderson,290300
184,2013,Sunnybrook Hospital,19200
185,2013,St. Clair/Silverthorn,31100
186,2013,St. James Town,192963
187,2013,St. Lawrence,114900
188,2013,Spadina Road,78583
189,2013,Steeles,160538
190,2013,Swansea Memorial,19688
191,2013,S. Walter Stewart,262125
192,2013,Taylor Memorial,36375
193,2013,Thorncliffe,203338
194,2013,Todmorden Room,17500
195,2013,Toronto Reference Library,1226659
196,2013,Victoria Village,41950
197,2013,Weston,87500
198,2013,Woodview Park,30575
199,2013,Woodside Square,471800
200,2013,Wychwood,114613
201,2013,Yorkville,191050
202,2013,York Woods,208388
203,2014,Albion,401819
204,2014,Albert Campbell,285428
205,2014,Alderwood,102875
206,2014,Agincourt,424457
207,2014,Armour Heights,67675
208,2014,Annette Street,95263
209,2014,Amesbury Park,56313
210,2014,Brookbanks,93375
211,2014,Black Creek,91963
212,2014,Bendale,72650
213,2014,Beaches,186600
214,2014,Barbara Frum,356077
215,2014,Bookmobile One,23813
216,2014,Bloor/Gladstone,355250
217,2014,Brentwood,234008
218,2014,Bridlewood,420963
219,2014,Burrows Hall,107200
220,2014,Cliffcrest,80175
221,2014,Centennial,125613
222,2014,Cedarbrae,366123
223,2014,City Hall,201288
224,2014,North York Central Library,1561767
225,2014,College/Shaw,112413
226,2014,Danforth/Coxwell,146013
227,2014,Don Mills,280151
228,2014,Downsview,168733
229,2014,Deer Park,275813
230,2014,Dawes Road,121325
231,2014,Davenport,42150
232,2014,Dufferin/St. Clair,106788
233,2014,Eatonville,223854
234,2014,Elmbrook Park,49750
235,2014,Evelyn Gregory,56200
236,2014,Ethennonnhawahstihnen',146697
237,2014,Eglinton Square,205025
238,2014,Forest Hill,93575
239,2014,Fort York,96613
240,2014,Flemingdon Park,146247
241,2014,Fairview,191404
242,2014,Gerrard/Ashdale,95775
243,2014,Goldhawk Park,202833
244,2014,Guildwood,45950
245,2014,Humber Bay,66263
246,2014,Highland Creek,81538
247,2014,Hillcrest,128975
248,2014,High Park,194450
249,2014,Humber Summit,49413
250,2014,Humberwood,161325
251,2014,Jane/Dundas,158938
252,2014,Jones,80275
253,2014,Jane/Sheppard,94250
254,2014,Kennedy/Eglinton,106838
255,2014,Long Branch,55625
256,2014,Leaside,144900
257,2014,Locke,179275
258,2014,Lillian H. Smith,352151
259,2014,Main Street,123450
260,2014,Malvern,347883
261,2014,Maria A. Shchuka,197358
262,2014,McGregor Park,123663
263,2014,Mount Dennis,82625
264,2014,Merril Collection,9163
265,2014,Mimico Centennial,94434
266,2014,Mount Pleasant,63575
267,2014,Maryvale,151875
268,2014,Morningside,124575
269,2014,Northern District,299729
